playlists	tracks
Coldplay	Another's Arms - Coldplay (Live At ITunes Festival 2014),Coldplay - Fix You (Live),Coldplay - The Scientist (Live),Coldplay - Green Eyes,ColdPlay - In My Place Live Rock in Rio,Brazil 2011,Coldplay - Viva la vida,Coldplay - Politik (UNSTAGED),Coldplay - Amsterdam - Pre-Album version RARE,John Knows - Panic Attacks,Hurts Like Heaven LIVE,Coldplay - Speed Of Sound On Piano
Classic Rock	Black Dog By Led Zepplin,AC DC    Highway To Hell,AC DC - High way to hell FINAL,Queen-Under Pressure,The Ocean - Led Zepplin,The Who - Who Are You
Chris	With You,I'll Always Love You (Album Version),Run It! (feat. Juelz Santana),Yo (Excuse Me Miss),Gimme That,Ya Man Ain't Me,Ain't No Way (You Won't Love Me),Is This Love,Poppin' (Main),Just Fine,Say Goodbye,I Can Transform Ya (feat. Swizz Beatz & Lil' Wayne),Yeah 3x,Deuces Remix (feat. Drake & Kanye West),Up To You
Country:*	Tim McGraw -  BBQ Stain,Homeboy,02 Whatever It Is - Zac Brown Band,American Honey,Need You Now,Cowboy Take Me Away,Wide Open Spaces
cougarchords	90's/2k Alternative Rock Mix,Imagine Dragons - Demons,When We Were Just Kids (Indie Rock),MILLENNIUM,Switch,Indie rock,Time in a Day (Original) Performed by Darius,Self Recrimination,Served Up Right,Spirit of '76 - Randy Belculfine (Alarm cover),My Sword,auralskit - After War Scars (Dischange Cover),your love letters pierce my heart (feat. shattered) (prod. blade901 & 5h3ad),Maxwell Murder (Rancid cover),sometimes - my bloody valentine
chillout	Colemans Groove . Ft. Andreya Triana And Niki Randa,GhostlyCast #54: Light Year - In Flight,Mansions (Nikitch Remix) (Gilles Peterson Premieres),Premiere: Copy Paste Soul 'The Fall' (Laurent Garnier Remix),Premiere: Henry Krinkle 'Stay' (Kölsch remix),Perpetual Moon Moods,Martyn + Four Tet - Glassbeadgames (8 Hours at Fabric Dub),Andrea Terrano - Cocoon (Moon Mix),Technimatic - Looking For Diversion Ft. Lucy Kitchen,Unfurla,CYPHR - Sun,Machinedrum - 'Only 1 Way 2 Know',tētēma - Tenz,Wilkie (mp3),Luca C & Brigante feat. Róisín Murphy - Invisions (Club Version)
coc	لعبتها صح   جنات,نسيت اصلك / محمد عبد المنعم 2016,حمادة هلال - جوانا حاجات,‎حماده هلال : دموع,حمادة هلال بخاف,حماده هلال - مستني إيه -,حماده هلال - عيد ميلاد Hamada Helal - Eid Milad - YouTube,كان بنا حب-حمادة هلال,مش مصدق -حمادة هلال -ولي_العهد,وعد عليا,احمد فوزي وانا جنبك,لو تسمحيلي أعتذرلك -محمد حماقي,القريب منك بعيد,.. وهاتلى قلب لا داب ولا حب,الحُضن الأخير | مهجة محمود
Compass	"23rd HOUR" with dj Compass-Vrubell - episode 146,"23rd HOUR" with dj Compass-Vrubell - episode 145,"23rd HOUR" with dj Compass-Vrubell - episode 144,"23rd HOUR" with dj Compass-Vrubell - episode 143,"23rd HOUR" with dj Compass-Vrubell - episode 142,"23rd HOUR" with dj Compass-Vrubell - episode 141,"23rd HOUR" with dj Compass-Vrubell - episode 140,"23rd HOUR" with dj Compass-Vrubell - episode 139,"23rd HOUR" with dj Compass-Vrubell - episode 138,"23rd HOUR" with dj Compass-Vrubell - episode 137,"23rd HOUR" with dj Compass-Vrubell - episode 136,"23rd HOUR" with dj Compass-Vrubell - episode 135,"23rd HOUR" with dj Compass-Vrubell - episode 134,"23rd HOUR" with dj Compass-Vrubell - episode 133,"23rd HOUR" with dj Compass-Vrubell - episode 132
Cause my other one can't hold any more	"Little Person" by Jon Brion,meltycanon - happy end,meltycanon - monkey bars,eugene cam x meltycanon - BASTION,~ i got love for you ~,yeah,thankful,my sunshine,Heartthrob [prod.meltycanon],meltycanon - grl,laser girl,3333.bandcamp.com/album/coffer,ㅤ,ㅤ,ㅤㅤ
collection	Kareem Hany _ حامل خير _ كريم هانى,بحبك اخر حاجه -ahmed mostafa (niiis),منة هانى - بتلوم عليا,Karim Mohsen - Makamelnash | كريم محسن - مكملناش,Karim Mohsen - Zai El Naharda / كريم محسن - زي النهاردة,Karim Mohsen - Malesh Naseeb Feek / كريم محسن - مليش نصيب فيك,Karim Mohsen - Rouh Shof Hayatak | كريم محسن - روح شوف حياتك,شاهيناز ضياء_هو اللي حب هينسى بالساهل,سمية - اخترت تاذينى -2014,البنت بيانو - محمد هشام رجب,أنا كويس - محمد هشام رجب,وحشتني بجد جداً - محمد هشام رجب,Assala - Khanat El Zekrayat | أصالة - خانات الذكريات,هو حبيبى - أصالة 2013,Hamaki | Saber 3ala Hali | 2015 | محمد حماقى |صابر على حالى
Curso de Italiano Gratis - Bianca Salvetti	01 - NO AEROPORTO - PRESSO LAEROPORTO  NA ALFÂNDEGA - ALLA DOGANA,39 - METRÔ - METROPOLITANA,40 - TÁXI - TASSI,41 - ALUGANDO CARRO - NOLEGGIARE UNAUTO,42 - POSTO DE GASOLINA - DISTRIBUTORE DI BENZINA,43 - PARTES MECÂNICAS E ELÉTRICAS DE UM CARRO - ORGANI MECCANICI E ELETRICI,44 - PROBLEMAS COM O CARRO - PROBLEMI CON LA MACCHINA,28 - CINEMA - CINEMA,29 - COMPRANDO INGRESSOS - COMPRANDO I BIGLIETTI,30 - VOCABULÁRIO BÁSICO SOBRE LAZER - VOCABOLARIO DI BASE SUL DIVERTIMENTO,31 - TELEFONE-TELEFONO  VOCÊ PODE OUVIR  - SE PUÒ SENTIRE,32  PODE SER NECESSÁRIO DIZER SOBRE LIGAÇÕES TELEFÔNICAS,33 - ENDEREÇOS E ORIENTAÇÕES - INDIRIZZI E DIREZIONI  PEDIR ORIENTAÇÃO - CHIEDERE INDICAZIONI,34 - RECEBENDO ORIENTAÇÃO - RICEVERE INDICAZIONI,35 - ORIENTAÇÕES - INDICAZIONI
CHIEF KEEF	Bill-O The Clown,Bladerunner Theme (End Titles) Cover,Innerspace - Borderlands,"Terror Toy" - (Brandi Says Hi Theme),Dj Snake vs Upon A Burning Body - Turn Down For What (NIGHTBIRD Remix),August Burns Red – Joy To The World,Godzilla 2015 Feat. Marvin Divine,Black COAL - Ace Mitch Rico (Prod. MJ Drama),Lighters & 4i20 & 8THSIN - Cure Of The Nation (Original Mix),02 Wake The town,MARY WANNA TREE FT. JUNIOR REID,Sugar Hill Gang - Apache (Kastra Bootleg) [Free Download],Friday The 13th DanceHall Mix 🔪😡,The Kemist & Nyanda - One More Time (Mas Tropical Remix),Gimmi di vapor (J Bostron rmx) feat. Million Stylez & Richie Riott
Cadenza - Podcast	Cadenza Podcast | 001 - Luciano (Cycle),Cadenza Podcast | 001 - Luciano (Source),Cadenza Podcast | 002 - Mendo (Cycle),Cadenza Podcast | 002 - Mendo (Source),Cadenza Podcast | 003 - Dani Casarano (Cycle),Cadenza Podcast | 003 - Dani Casarano (Source),Cadenza Podcast | 004 - UNER (Cycle),Cadenza Podcast | 004 - UNER (Source),Cadenza Podcast | 005 - Lee Van Dowski (Cycle),Cadenza Podcast | 006 - Andrea Oliva (Cycle),Cadenza Podcast | 006 - Andrea Oliva (Source),Cadenza Podcast | 007 - Mr. Mike (Cycle),Cadenza Podcast | 008 - Kenny Larkin (Cycle),Cadenza Podcast | 008 - Kenny Larkin (Source),Cadenza Podcast | 009 - Mirko Loko (Cycle)
cibari gold	Sagi Kariv - Forever Tel Aviv PrideMix2016,Forever Tel Aviv Mixed With Love By Sagi Kariv,ForeverTLV Pride2015 SuperPromo Mixed By SAGI KARIV,Sagi Kariv - New Year 2017 Podcast,Sagi Kariv - Forever Tel Aviv Pride 2017,Sagi Kariv - Summer 2017 Podcast,Samira Said - Mazal (Sagi Kariv Remix),Samira Said vs Sagi Kariv - Mazal (Mor Avrahami Edit),Iggy Azalea Feat. Rita Ora - Black Widow (Sagi Kariv remix),Forever Tel Aviv Mixtape Vol.3 Mixed By Sagi Kariv,Tito El Bambino - Shalala (Sagi Kariv Remix),a-ha - The Sun Always Shines On TV (Sagi Kariv Remix),Kristian Kostov - Beautiful Mess (Sagi Kariv Remix),Forever Tel Aviv Mixtape Vol.1 - Mixed By SAGI KARIV,Army Of Lovers - Crucified (Sagi Kariv Remix)
Comedy Central Stand Up	Gonna Raise Hell,Dream Police,I'll Be With You Tonight,Way Of The World,The House Is Rockin' (With Domestic Problems),Girls will never leave the house if they're already wearing sweatpants.,Brandon Vestal | Traveling While Brandon,Weiner Screener by Erik Knowles,Louis CK 10-8-13,Boys Vs. Girls,Iliza Shlesinger - Boarding Zones,Oh Armond
campur	Dewa 19 - pupus,Dewa 19 - Risalah Hati,DEWA 19 - Kangen,Dewa 19 - Cinta Kan Membawamu Kembali,Pupus (Dewa19 Cover),Dewa 19 - Cinta Gila,Pupus - Dewa19 (VSIP),Risalah Hati - Dewa 19 (Cover) Guitar: Erki Aditya,Dewa 19 - Tak Kan Ada Cinta Yang Lain,Dewa 19 - kamulah satu satunya,Dewa 19 - Kangen,Dewa 19 - Kosong,Dewa 19 - Aku Milikmu,Mikha Angelo - Kirana (Dewa 19 Cover),Dewa19 aku cinta kau dan dia (piano)
collection	الصعيدى دايماً ريس توزيع الكومندا احمد هنداوى,حضن دافى - كارمن سليمان,‫أغنية اللي تعبنا سنين فى هواه – يسرا - من فيلم النبطشي by Mazzika ©,أغنية محمد سعد خلتني اقول من فيلم حياتي مبهدلة 2015,اغنية_انت_معلم_-_النسخة_المصرية_شعبي.mp3,اغنية محمود الليثى ومى كساب - عريسنا حلو - توزيع جمال تيمو,Randa Hafez / راندا حافظ - نزوه,سالي خليل _ طفيها,Happy Valentine مدحت صالح,Soma - Nadmana | سوما - ندمانة,وعد البحري - زعلك على عينى,حسين الجسمي - وحشتنى دنيتى (حصريا)(مصريه ) - 2016,Alejandro Fernandez - Hoy Tengo Ganas De Ti Feat.Christina Aguilera,اه يا بت يا خيبة اعصابك سايبة ورامية نفسك في غرامة دايبة,فيلو ☼ حوده ناصر ☼ التوني ♫ القمه (فرتكه فرتكه) من البوم الضجه 2014
Collection	Khamsa Santy,Mesh far'a- مش فارقة,El Boxer - البوكسر,Khalas Hasaytar-خلاص هسيطر,Kawkab,Boot- بووت,El-Nameema- النميمة,Zombie- زومبي,5-6 Hepta.....  ٥ -٦ هيبتا,شارموفرز أغنية فيلم  قط و فار  Sharmoofers Ot w Far.mp3,Latifa - Ma Tro7sh Be3id لطيفة - ماتروحش بعيد,Moustafa Hagag - Ya Mna3na3 | مصطفي حجاج - يا منعنع,Ruby - Yal Romosh روبي - يا الرموش,Ruby - Leih Beydary Keda   روبي - ليه بيداري كده,Mawaly roby eb2a-abelny روبي- إبقى قابلني
CREATiVE ROCK - Part 1	FUERR - Wrong Is Right,Back At The Farm,No One Knows,Roulette Dares (The Haunt Of),Giant Tortoise,Hope Is A Butterfly, No Net Its Captor…(The Virus Of Silence),Cramm,R U Mine?,Race : In,Hello My Old Heart,Future Of The Left - adeadenemyalwayssmellsgood,Allies,Half Full Glass Of Wine,Anvil Everything,Song For The Dead (Album Version)
cheeellllll	Gabriel Rios - Gold (Thomas Jack Remix),Cazzette - Sleepless [Thissongissick.com Premiere],Jaymes Young - Moondust (Sound Remedy Remix),Don’t Leave (feat. Ellie Goulding),Panama - Always (Wave Racer Remix),Guy Sebastian - Like A Drum (The Chainsmokers Remix),Above & Beyond - Sun & Moon (ETC!ETC! Bootleg),Of Monsters and Men - Little Talks (Thomas Jack Remix),Thomas Jack - Symphony (Original Mix),Adrian Lux - Teenage Crime (Thomas Jack Remix) -,One Republic - Counting Stars (Thomas Jack Edit),Ed Sheeran - I See Fire (Kygo Remix),Ellie Goulding - High For This (Kygo Remix),Lorde - Tennis Court (Flume Remix),Lost and Found (ODESZA Remix) - The Hidden Shades
Chloe x	I Took A Pill In Ibiza (Seeb Remix),Charles & Eddie - Would I Lie To You (Maklon Remix),You Got Me Baby [OUT NOW],Gabrielle - Dreams (Remix) *Free DL*,Second City - I Wanna Feel (Lushington Remix),Nightcrawlers Vs DJ S.K.T - Push the feeling 2014 (Ministry of Sound),DubRocca - Here For You,Endor - Tell Me I'm The One,Le Youth - Real (Tough Love Remix) / Sony Epic Records,Gone In The Morning (Tough Love Remix),Endor - Found Out,Ferreck Dawn & Redondo -Love To Deep (Karlos Robledo Edit),Every Freakin Night I Can Be A Super Freak,Natel - Si Mi Yah -,♛♛♛
Chase Joy Vol. 1	Cee-Roo - Work Song,Stevie Wonder - Superstition (C2C Remix),Happy (feat. Derek Martin),Gramatik - Pardon My French,Slynk & Stickybuds - Full Tilt Boogie [FREE DOWNLOAD],Cee-Roo - Make It Funky,Big Bird - Smoove Remix,Gramatik - Prime Time,GET LUCKY - GEORGE BARNETT (SMOOVE REMIX) FREE DOWNLOAD!!!,Need Ya Feat. Aela Kae
cvhccnjcc	bbno$ & Y2K - lalala,مهرجان هوب كنتالوب - الباور العالي 2017,مهرجان السلام-فيفتي,مهرجان كوتشينه اوكا و اورتيجا . هكبر مش هشغل دماغي ☠,مهرجان الناس بتقول المولد توزيع دربكة ريمكس,مهرجان سمسون جوان غناء مجدى شطة و شقاوة كلمات زيكا الفنان توزيع وزة منتصر mody.lovers22@yahoo.com  01143669854,مهرجان كلة فى الاونطة | اوكا واورتيجا | درامز لايف اسلام التركي | مهرجانات 2019,المهرجان ده الي هيسمعوا هيعيدو 1000 مرة - مهرجان الجمجمه شغاله غناء نجوم مصر توزيع وزه منتصر 2018,المهرجان ده الي هيسمعو هيعيدو 100 مرة / مهرجان بقولك ايه  البوب و السفاح واستيكا توزيع مادو الفظيع,الجوكر - عالم رابع,El joker-Shakal Lelbe3 _ الجوكر-شكل للبيع (Dirty)+18,الجوكر - راح مارجعش - اغنية تحفة (الادمان)..,غلطة الجوكر.mp3,مهرجان بطيخة قرعة غناء علاء فيفتي - حتحوت - شبرا توزيع عمرو حاحا - حتحوت2017,اغنية يا بضانى - الجوكر
classic	Majida El-roumi - Bas Ellaak Habebbi | بس قلك حبيبي - ماجدة الرومي,Magda ELRomy - 7abibi  | ماجده الرومى - حبيبى,غني للحب ماجدة الرومي,ماجدة الرومي -  كُن صديقي,آدم وحنان - ماجدة الرومي,ماجدة الرومي - لو تعرف شو بحبك,ماجدة الرومي - وعدتك,ماجدة الرومي - كلمات,George Wassouf - Ya Dounya يا دنيا - جورج وسوف,بيحسدونى_جورج وسوف,حلف القمر .جورج وسوف,بتعاتبنى على كلمة - جورج وسوف,جورج وسوف,جورج وسوف - اي دمعة حزن,جورج وسوف - لو نويت و الحبايب
Chill Vibes	Thief,What They Want (Prod. Russ),Dabin - Hold (ft. Daniela Andrade),Crossfire,Hayden James - Something About You (ODESZA Remix),Someone To Drink With (Prod. Russ),Niykee Heaton - Infinity (Illenium Remix),Kill Paris ft. Royal - Operate (Illenium Remix),Illenium - I'll Be Your Reason [NEST052],Illenium - With You ft. Quinn XCII,Phoebe Ryan - Mine (Illenium Remix),Illenium - Reverie (ft. King Deco),Kaskade - Never Sleep Alone,think about,mustard
çap aya	Fe hetta tanya _ في حته تانيه,ودعها - محمد سارى,أم كلثوم - سيرة الحب,تفاريد من بعيد عنك - ام كلثوم,احلي وحدة  - هي دي اجمل ما شافت عيني والله,اليسا _ وحياة الحب,Malo4 Kelma | مالوش كلمة,كتبوا كتابك - شريف اسماعيل - كاملة,عندها احساس,نجاة الصغيرة - عيون القلب,Mohamed Maghraby - Eftekrny  - محمد مغربى - إفتكرنى,محمد عساف و فرح يوسف,أحمد جمال & محمد عساف&فرح يوسف - طريق جديد,جمال ياسين | بشوف فيكي,Arab Idol - mash up - فرح يوسف و محمد عساف - بيحن /انت ايه
country	Better in Boots,You're Gonna Miss This,Chicks Dig It (Single Edit),Huntin', Fishin' And Lovin' Every Day,Where It's At,Die A Happy Man,Would You Go With Me,Summer Jam (feat. Florida Georgia Line),Homegrown Honey,Love You Like That,Roll With It (Album Version),Backroad Song,Night's On Fire,Head Over Boots,Beautiful Drug
chill re-up	The Game "100" feat. Drake,Drake ft future- jumpman,DJ Esco - 100it Racks Feat Drake, 2 Chainz, Future [Prod By DJ Esco & Southside],Meek Mill & Drake ~ R.I.C.O. (Vincent Remix),Drake Ft Travis Scott - Company,TINASHE - Days In The West (Drake Cover),Preach - Drake ft. Partynexrdoor Cover (Prod by Rico Rod),Fetty Wap - My Way (Remix),My Way-(Toni Romiti & Drake)Remix,INITIATION - Tory Lanez x BenZel,24 Hours- Trey Songz & Chris Brown remix,Trey Songz - Eat It Up (Beat it up Remix),The Game "Do It To You" (ft. Trey Songz),About You,Who Do You Love Remix YG Ft Drake & Trey Songz By Dj Ber'
Collaborative Works	Nils Frahm & Anne Müller – 7fingers,Oliveray - Growing Waterwings,Ólafur Arnalds & Nils Frahm - a2
CONWAY - G.O.A.T	01 G.O.A.T (Produced by Daringer),02 TRUMP (Produced by Alchemist),03 TH3RD F (Featuring Raekwon, Produced by Daringer),04 DIE ON XMAS (Featuring BENNY, Produced by Daringer),05 RODNEY LITTLE (Featuring Prodigy, Produced by Daringer),06 XXXTRAS (Produced by Daringer),07 BISHOP SHOT STEEL (Produced by Daringer),08 MANDATORY (Featuring Royce 5'9, Produced by Daringer),09 ARABIAN SAM'S (Featuring Styles P, Produced by Daringer),10 BULLET KLUB (Featuring Lloyd Banks & BENNY, Produced by Daringer)
Consideration (Remixes) [feat. SZA]	Consideration (MK Remix) [feat. SZA],Consideration (Dirty South Remix) [feat. SZA],Consideration (Mangal Suvarnan Remix) [feat. SZA],Consideration (James Carter Remix) [feat. SZA],Consideration (Will Clarke Remix) [feat. SZA],Consideration (Stafford Brothers Remix) [feat. SZA]
Car talk.	Car Noises: Loose Belt,Driving on Washboard Roads,The Great Conversation Stopper,#1332: The Bread Also Rises,#1231: The Clairvoyant Mechanic,#1229: The Lincoln Stretch Bike Carrier,#1228: Karmen And The Burper,#1227: A Civic Divorce,#1226: Who Drowned My Corolla,#1225: Do One To Others,Just Say Bang,CTVDS Tom and Ray Magliozzi First Car :30,CTVDS Tom & Ray Magliozzi First Car :15,CTVDS Nina Car Stolen :30,CTVDS Nina White House :30
Claudia	115 Joe Arroyo - Las Cajas [F-Beat Dedicated],Jamas Me Olvide De Ti (BACHÁ),CARA DURA-DAVID PAVON (DJ DANIEL PIÑEROS),Ayudame A Enamorarla Alkilados FT RF, Nicky Jam J - Alvarez Una Cita Remix,Silvestre Dangond Ft. Farruko – Ya No Me Duele Mas (Official Remix),Omi - Cheerleader (Riggi & Piros Remix),Nunca Me Olvides REMIX - Yandel - DJ Brelly Remix (FREE DOWNLOAD),Si Te Has De Marchar - Los Adolescentes,DIRE STRAITS - THE VERY BEST - 11 - Walk of life,090. N'Klave Ft. R.K.M & Ken-Y,Princesa bonita - element black,Tengo prisa (Dragon y caballero) By Dj sebas,105. Contigo Cali Y El dandee Ft Bonka (Jurgen Dorsam Edit),Latin Brothers - Fuma El Barco [ Dj Jk - Ica'Mix' ],Esa Boquita- Dragon y Caballero
Curb.com	Lil Larry - Good Man (EDM Mix)
Curb Christian Promotion	MIKESCHAIR - All I Can Do (Thank You)
Club Remix 2000-2018 - Part 1	02-de lorean-titanium (john medina remix)-alki,Crew 7 - Eye Of The Tiger 2012 (Gordon & Doyle Remix),Whatcha Say (Wawa Remix),Sean Kingston - Fire Burning (CHNKY Remix),Just Dance (Ti-Mo vs. Stefan Rio Remix Edit),Everybody Dance (Ralphi Rosario Radio Edit),Insomnia (Chris Crime Infinity Remix),Love Is Wicked (MF Remix),Mike Candys & Jack Holiday - Push The Feeling On (Electro Vectro Remix),Fragma - Tocas Miracle (C-Barts Bootleg),Wamdue Project King Of My Castle (Le Boeuf Remix),Nelly Furtado - Maneater (Christian Revelino Remix),Pon De Replay (Remix) [feat. Elephant Man],S&M Remix (feat. Britney Spears),(You Drive Me) Crazy (The Stop Remix!)
Chill	traffic lights,Tokyo Train,fortunes,Unsaid,07 nevergreen,blockhead - insomniac olympics,Tell Me (feat. Ravyn Lenae),WIZE - we ride,Ftse - Float,Alina Baraz & Galimatias - Drift,Daktyl - Stay (Felon Remix) [feat. Dive Deep],U Got (XXYYXX Remix),Breathe,acres (escapism III OUT NOW),Audiobot & Bamiyah - Lies
Chiquita	Chill Bill (feat. J. Davi$ & Spooks),Tory Lanez - LUV,Swang,Bad and Boujee (Feat. Lil Uzi Vert) [Prod. By Metro Boomin],Tamar Braxton 'Let Me Know' Feat. Future,Right and a Wrong Way,Silk - Freak Me,11-Seems Like Your Ready- R Kelly,Selfish,Montana Of 300 - Wifin' You [Prod. By Charisma 808],Trey Songz - Love Faces,Chris Brown - Back To Sleep (Royalty),Bounce- Jacquees,Tyga- Ayy Ladies Ft Travis Porter With Lyrics In Description,MY PYT
caldas	Natiruts - Me Namora,- 01 Natiruts - Um Anjo Do Céu,Haikaiss - Chapa Drunk,Sorri, Sou Rei - Natiruts,Natiruts - Quero Ser Feliz Também Cover,Haikass - Quais São Suas Intenções,MC Kekel - Namorar Pra Que (PereraDJ) (Áudio Oficial) Lançamento 2016,Jamais Serão - Start & Felipe Ret - Acústico,Natiruts - Reggae Power,MC Kevinho - Turutum (Jorgin Deejhay) Laçamento Oficial 2016,Jads e Jadson - Jeito Carinhoso
